"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BIGC","BigCommerce Holdings, Inc.","94.74","$6.41B","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/bigc",
"BH","Biglari Holdings Inc.","85.08","$264M","2018","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/bh",
"BH.A","Biglari Holdings Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bh.a",
"BILI","Bilibili Inc.","44","$15.2B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/bili",
"BILL","Bill.com Holdings, Inc.","115.94","$9.3B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/bill",
"BASI","Bioanalytical Systems, Inc.","5.3596","$58.9M","1997","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/basi",
"BCDA","BioCardia, Inc.","2.3","$28.58M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcda",
"BCDAW","BioCardia, Inc.","0.62","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcdaw",
"BIOC","Biocept, Inc.","4.68","$6.27M","2014","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/bioc",
"BIOX","Bioceres Crop Solutions Corp.","5.51","$213.24M","2018","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/biox",
"BCRX","BioCryst Pharmaceuticals, Inc.","3.565","$629.46M","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/bcrx",
"BDSI","BioDelivery Sciences International, Inc.","3.52","$355.29M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bdsi",
"BFRA","Biofrontera AG","7.5","$168.19M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bfra",
"BIIB","Biogen Inc.","268.77","$42.55B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/biib",
"BHVN","Biohaven Pharmaceutical Holding Company Ltd.","77.49","$4.63B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/bhvn",
